number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
2232,sondage,none,nm,poll,* ce sondage représente la désinformation pure et simple -- this poll represents pure and simple disinformation,ce sondage représente la désinformation pure et simple,8,this poll represents pure and simple disinformation,66,820-l,66 | 820-l
2233,mineur,Relationships,nadj,minor; miner,* les mineurs sont devenus fous -- the miners went crazy,les mineurs sont devenus fous,5,the miners went crazy,77,525,77 | 525
2234,composition,none,nf,"composition, essay, dialling",* le roman se développe comme une composition musicale -- the novel unfolds like a musical composition,le roman se développe comme une composition musicale,8,the novel unfolds like a musical composition,80,440,80 | 440
2235,débarrasser,none,v,"to clear, get rid of",* ils trouveront le moyen de se débarrasser de leur chef -- they'll find a way to get rid of their leader,ils trouveront le moyen de se débarrasser de leur chef,10,they'll find a way to get rid of their leader,78,503,78 | 503
2236,accusation,none,nf,"accusation, indictment",* il s'agit d'une accusation très grave -- it's a very grave accusation,il s'agit d'une accusation très grave,6,it's a very grave accusation,67,793,67 | 793
2237,invitation,none,nf,invitation,* nous lui enverrons bien sûr une invitation -- of course we will send her an invitation,nous lui enverrons bien sûr une invitation,7,of course we will send her an invitation,83,359,83 | 359
2238,présidentiel,Adjectives – differences across registers,adj,presidential,* l'administration présidentielle sort sa batterie de combat -- the president's administration brought out its big guns,l'administration présidentielle sort sa batterie de combat,7,the president's administration brought out its big guns,55,1179-l +n,55 | 1179-l +n
2239,concurrent,Relationships,nadj,"competitor, rival",* c'est un concurrent politique -- he's a political rival,c'est un concurrent politique,4,he's a political rival,76,537,76 | 537
2240,prévu,none,nadj,planned,* la période actuelle prévue est de 92 ans -- the currently planned period is 92 years,la période actuelle prévue est de 92 ans,8,the currently planned period is 92 years,77,528,77 | 528
2241,suisse,Adjectives – differences across registers,nadj(f),Swiss,* l'économie suisse a glissé dans une légère récession -- the Swiss economy slid into a slight recession,l'économie suisse a glissé dans une légère récession,8,the Swiss economy slid into a slight recession,53,1271-l +n -s,53 | 1271-l +n -s
2242,franchement,none,adv,frankly,"* franchement, cela ne m'étonne pas -- frankly that doesn't surprise me","franchement, cela ne m'étonne pas",5,frankly that doesn't surprise me,79,474,79 | 474
2243,paiement,none,nm,payment,* la firme me réclame le paiement d'une indemnité -- the firm is demanding that I pay a penalty,la firme me réclame le paiement d'une indemnité,8,the firm is demanding that I pay a penalty,64,899,64 | 899
2244,comparaison,none,nf,comparison,* il n'y a pas de comparaison avec l'Afrique -- there's no comparison with Africa,il n'y a pas de comparaison avec l'Afrique,8,there's no comparison with Africa,74,584,74 | 584
2245,musulman,Relationships,nadj,"Muslim, Moslem",il y a plein de femmes musulmanes qui ont écrit des livres -- many Muslim women have written books,il y a plein de femmes musulmanes qui ont écrit des livres,12,many Muslim women have written books,60,1021+n,60 | 1021+n
2246,déplacement,none,nm,"movement, displacement, trip, travel",* je consacre toute mon énergie aux déplacements -- I spend all my energy in traveling,je consacre toute mon énergie aux déplacements,7,I spend all my energy in traveling,77,503,77 | 503
2247,légal,none,adj,"legal, lawful","* à l'époque, il était légal de battre sa femme -- at the time, it was legal to beat one's wife","à l'époque, il était légal de battre sa femme",9,"at the time, it was legal to beat one's wife",76,541,76 | 541
2248,dispositif,none,nm,"device, apparatus",* il y a un dispositif d'urgence -- there's an emergency apparatus,il y a un dispositif d'urgence,6,there's an emergency apparatus,62,931+n,62 | 931+n
2249,constitutionnel,none,nadj,constitutional,* je suis un praticien du droit constitutionnel -- I practice constitutional law,je suis un praticien du droit constitutionnel,7,I practice constitutional law,62,945-l +s,62 | 945-l +s
2250,contrainte,none,nf,constraint,* les banques ont été contraintes de fermer leurs guichets -- the banks had to close their teller stations,les banques ont été contraintes de fermer leurs guichets,9,the banks had to close their teller stations,71,672,71 | 672
2251,tarder,none,v,to delay,* je ne vais pas tarder à y aller -- I'm going there without delay,je ne vais pas tarder à y aller,8,I'm going there without delay,80,439,80 | 439
2252,refaire,none,v,"to redo, make again",* tu sais que ta mère avait refait la salle de bains -- you know that your mother redid the bathroom,tu sais que ta mère avait refait la salle de bains,11,you know that your mother redid the bathroom,74,583,74 | 583
2253,pleurer,none,v,to cry,* promets-moi que tu ne pleureras pas à mon enterrement -- promise me that you won't cry at my funeral,promets-moi que tu ne pleureras pas à mon enterrement,9,promise me that you won't cry at my funeral,59,1060-n,59 | 1060-n
2254,débattre,Verbs – differences across registers,v,"to discuss, debate",* nous ne sommes pas les seuls à débattre de cette question -- we're not the only ones to debate this question,nous ne sommes pas les seuls à débattre de cette question,11,we're not the only ones to debate this question,65,841+s,65 | 841+s
2255,immigration,none,nf,immigration,* son passeport portait un cachet d'immigration -- his passport had an immigration stamp,son passeport portait un cachet d'immigration,6,his passport had an immigration stamp,65,837-l +s,65 | 837-l +s
2256,cancer,none,nm,cancer,* l'apparition de certains cancers peut être affectée par le mode de vie -- the onset of certain cancers can be affected by lifestyle,l'apparition de certains cancers peut être affectée par le mode de vie,12,the onset of certain cancers can be affected by lifestyle,71,669,71 | 669
2257,lâcher,none,v,"to let go, release",* je vous ai dit de lâcher ces couteaux -- I told you to let go of those knives,je vous ai dit de lâcher ces couteaux,8,I told you to let go of those knives,61,979,61 | 979
2258,cercle,none,nm,"circle, cycle",* comment sortir de ce cercle vicieux? -- how to escape this vicious cycle?,comment sortir de ce cercle vicieux?,6,how to escape this vicious cycle?,75,562,75 | 562
2259,génétique,none,nadj(f),genetic,* l'effet génétique des radiations est cumulatif -- the genetic effect of radiation is cumulative,l'effet génétique des radiations est cumulatif,6,the genetic effect of radiation is cumulative,54,1217-l,54 | 1217-l
2260,importation,none,nf,import,* le Japon envisage de s'ouvrir aux importations de riz -- Japan plans to open itself to rice imports,le Japon envisage de s'ouvrir aux importations de riz,9,Japan plans to open itself to rice imports,63,899,63 | 899
2261,tonne,none,nf,ton,* ils mangent des millions de tonnes de poisson -- they eat millions of tons of fish,ils mangent des millions de tonnes de poisson,8,they eat millions of tons of fish,66,819,66 | 819
2262,dieu,none,"intj,nm",god,"* aujourd'hui, les vrais dieux sont en colère -- today the real gods are angry","aujourd'hui, les vrais dieux sont en colère",7,today the real gods are angry,58,1078-n,58 | 1078-n
2263,référendum,none,nm,referendum,* ils se préparent à un référendum -- they're preparing for a referendum,ils se préparent à un référendum,6,they're preparing for a referendum,67,789,67 | 789
2264,perdu,none,nadj,"lost, stray, wasted",* ça ne sera pas du temps perdu -- it won't be wasted time,ça ne sera pas du temps perdu,7,it won't be wasted time,77,497,77 | 497
2265,obligé,none,nadj,"necessary, required",* vous n'êtes pas obligés de me donner une réponse -- you're not obligated to respond to me,vous n'êtes pas obligés de me donner une réponse,9,you're not obligated to respond to me,78,482,78 | 482
2266,visiteur,Relationships,nm,visitor,* nous avons des visiteurs. de très grands visiteurs! -- we have visitors. very important visitors!,nous avons des visiteurs. de très grands visiteurs!,8,we have visitors. very important visitors!,84,329,84 | 329
2267,remporter,Verbs – differences across registers,v,"to take away, win",* l'autorité revenait à celui qui remportait la victoire -- the authority was conferred on the one who won the victory,l'autorité revenait à celui qui remportait la victoire,8,the authority was conferred on the one who won the victory,57,1094+n,57 | 1094+n
2268,rond,none,nadj,round,"* il a le visage rond, le nez cassé -- he has a round face, a crooked nose","il a le visage rond, le nez cassé",8,"he has a round face, a crooked nose",72,643,72 | 643
2269,étage,none,nm,floor,* elle est tombée du troisième étage en secouant un tapis -- she fell from the third floor while shaking out a rug,elle est tombée du troisième étage en secouant un tapis,10,she fell from the third floor while shaking out a rug,71,678,71 | 678
2270,intense,none,adj(f),"intense, severe, dense",* elle me faisait vivre des moments intenses -- she made me experience intense moments,elle me faisait vivre des moments intenses,7,she made me experience intense moments,81,402,81 | 402
2271,bébé,Family,nadj(f),baby,* elle va avoir un bébé -- she's going to have a baby,elle va avoir un bébé,5,she's going to have a baby,69,732,69 | 732
2272,amitié,none,nf,friendship,* l'amitié a remplacé la peur -- friendship replaced fear,l'amitié a remplacé la peur,5,friendship replaced fear,66,805+l,66 | 805+l
2273,cinquante,none,"det,nmi",fifty,* encore cinquante mètres et il tourna--à gauche -- fifty more meters and he turned--to the left,encore cinquante mètres et il tourna--à gauche,7,fifty more meters and he turned--to the left,62,933,62 | 933
2274,zéro,none,nm,zero,"* froid intense, très en dessous de zéro -- intense cold, far below zero","froid intense, très en dessous de zéro",7,"intense cold, far below zero",59,1043,59 | 1043
2275,drame,none,nm,drama,* son œuvre est dominée par un drame personnel -- his work is dominated by a personal drama,son œuvre est dominée par un drame personnel,8,his work is dominated by a personal drama,77,512,77 | 512
2276,visible,none,adj(f),"visible, obvious","* il a toujours des partenaires, visibles ou invisibles -- there are always visible or invisible partners","il a toujours des partenaires, visibles ou invisibles",8,there are always visible or invisible partners,76,527,76 | 527
2277,haine,none,nf,"hatred, hate",* l'amour se change en haine -- love changes to hatred,l'amour se change en haine,5,love changes to hatred,75,565,75 | 565
